,season,date,home-team,home-lat,home-long,vis-team,vis-lat,vis-long,intl-flag,intl-lat,intl-long,travel team,distance (miles)
95,2007,2007-10-14,JAX,30.49410057,-81.68789673,HOU,29.64539909,-95.27890015,0,,,HOU,815.86275412831
96,2007,2007-10-14,CLE,41.4117012,-81.84980011,MIA,25.79319954,-80.29060364,0,,,MIA,1080.1411332781609
97,2007,2007-10-14,TBB,27.97550011,-82.53320313,TEN,36.12450027,-86.67819977,0,,,TEN,611.7298133488127
98,2007,2007-10-14,BAL,39.17539978,-76.66829681,LAR,38.748697,-90.370003,0,,,LAR,737.8025051687956
99,2007,2007-10-14,NYJ,40.77719879,-73.87259674,PHL,39.87189865,-75.2410965,0,,,PHL,95.52022245950675
100,2007,2007-10-14,GBP,44.48509979,-88.12960052,WSH,38.8521,-77.037697,0,,,WSH,692.261437685456
101,2007,2007-10-14,CHI,41.97859955,-87.90480042,MIN,44.88199997,-93.22180176,0,,,MIN,334.1489681564713
102,2007,2007-10-14,KCC,39.2976,-94.713898,CIN,39.04880142,-84.6678009,0,,,CIN,539.4276265174127
103,2007,2007-10-08,BUF,42.94049835,-78.73220062,DAL,32.89680099,-97.03800201,0,,,DAL,1212.313970934936
104,2007,2007-10-07,GBP,44.48509979,-88.12960052,CHI,41.97859955,-87.90480042,0,,,CHI,173.40177851639444
105,2007,2007-10-07,SFF,37.61899948,-122.375,BAL,39.17539978,-76.66829681,0,,,BAL,2456.803096821038
106,2007,2007-10-07,DEN,39.86169815,-104.6729965,LAC,32.73360062,-117.1900024,0,,,LAC,852.8168082301714
107,2007,2007-10-07,IND,39.7173,-86.294403,TBB,27.97550011,-82.53320313,0,,,TBB,837.4560830471298
108,2007,2007-10-07,TEN,36.12450027,-86.67819977,ATL,33.63669968,-84.42810059,0,,,ATL,213.8713780558849
109,2007,2007-10-07,NOS,29.99340057,-90.25800323,CAR,35.2140007,-80.94309998,0,,,CAR,651.1231088261729
110,2007,2007-10-07,PIT,40.49150085,-80.23290253,SEA,47.44900131,-122.3089981,0,,,SEA,2124.801624778724
111,2007,2007-10-07,NYG,40.77719879,-73.87259674,NYJ,40.77719879,-73.87259674,0,,,NYJ,0.0
112,2007,2007-10-07,HOU,29.64539909,-95.27890015,MIA,25.79319954,-80.29060364,0,,,MIA,955.1209788988863
113,2007,2007-10-07,WSH,38.8521,-77.037697,DET,42.21239853,-83.35340118,0,,,DET,405.17784366817
114,2007,2007-10-07,LAR,38.748697,-90.370003,ARZ,33.43429947,-112.012001,0,,,ARZ,1261.8139458614312
115,2007,2007-10-07,NEP,42.36429977,-71.00520325,CLE,41.4117012,-81.84980011,0,,,CLE,562.7283468941254
